# temp  energy  qhat_over_T3
  0.330000  16.460220   3.205140
  0.350000  16.460220   3.158346
  0.370000  16.460220   3.113785
  0.390000  16.460220   3.071246
  0.410000  16.460220   3.030597
  0.430000  16.460220   2.991670
  0.450000  16.460220   2.954346
  0.470000  16.460220   2.918415
  0.490000  16.460220   2.883776
  0.510000  16.460220   2.850446
  0.530000  16.460220   2.818327
  0.550000  16.460220   2.787351
  0.570000  16.460220   2.757451
  0.590000  16.460220   2.728556
  0.610000  16.460220   2.700610
  0.630000  16.460220   2.673556
  0.650000  16.460220   2.647347
  0.670000  16.460220   2.621943
  0.690000  16.460220   2.597272
  0.710000  16.460220   2.573243
  0.730000  16.460220   2.549898
  0.750000  16.460220   2.527216
  0.150000  17.817800   3.967207
  0.170000  17.817800   3.878265
  0.190000  17.817800   3.797056
  0.210000  17.817800   3.722235
  0.230000  17.817800   3.652754
  0.250000  17.817800   3.587567
  0.270000  17.817800   3.526332
  0.290000  17.817800   3.468630
  0.310000  17.817800   3.414083
  0.330000  17.817800   3.362406
  0.350000  17.817800   3.313294
  0.370000  17.817800   3.266511
  0.390000  17.817800   3.221895
  0.410000  17.817800   3.179250
  0.430000  17.817800   3.138421
  0.450000  17.817800   3.099257
  0.470000  17.817800   3.061571
  0.490000  17.817800   3.025248
  0.510000  17.817800   2.990289
  0.530000  17.817800   2.956614
  0.550000  17.817800   2.924130
  0.570000  17.817800   2.892764
  0.590000  17.817800   2.862459
  0.610000  17.817800   2.833139
  0.630000  17.817800   2.804757
  0.650000  17.817800   2.777264
  0.670000  17.817800   2.750600
  0.690000  17.817800   2.724716
  0.710000  17.817800   2.699500
  0.730000  17.817800   2.675008
  0.750000  17.817800   2.651209
  0.150000  19.175380   4.140228
  0.170000  19.175380   4.047361
  0.190000  19.175380   3.962573
  0.210000  19.175380   3.884421
  0.230000  19.175380   3.811817
  0.250000  19.175380   3.743842
  0.270000  19.175380   3.679967
  0.290000  19.175380   3.619772
  0.310000  19.175380   3.562894
  0.330000  19.175380   3.508971
  0.350000  19.175380   3.457733
  0.370000  19.175380   3.408955
  0.390000  19.175380   3.362422
  0.410000  19.175380   3.317952
  0.430000  19.175380   3.275363
  0.450000  19.175380   3.234534
  0.470000  19.175380   3.195244
  0.490000  19.175380   3.157394
  0.510000  19.175380   3.120967
  0.530000  19.175380   3.085863
  0.550000  19.175380   3.052007
  0.570000  19.175380   3.019314
  0.590000  19.175380   2.987709
  0.610000  19.175380   2.957153
  0.630000  19.175380   2.927555
  0.650000  19.175380   2.898892
  0.670000  19.175380   2.871087
  0.690000  19.175380   2.844100
  0.710000  19.175380   2.817811
  0.730000  19.175380   2.792275
  0.750000  19.175380   2.767451
  0.150000  20.532960   4.301997
  0.170000  20.532960   4.205437
  0.190000  20.532960   4.117277
  0.210000  20.532960   4.035994
  0.230000  20.532960   3.960530
  0.250000  20.532960   3.889965
  0.270000  20.532960   3.823641
  0.290000  20.532960   3.761165
  0.310000  20.532960   3.702104
  0.330000  20.532960   3.646121
  0.350000  20.532960   3.592956
  0.370000  20.532960   3.542338
  0.390000  20.532960   3.494043
  0.410000  20.532960   3.447886
  0.430000  20.532960   3.403699
  0.450000  20.532960   3.361328
  0.470000  20.532960   3.320578
  0.490000  20.532960   3.281327
  0.510000  20.532960   3.243553
  0.530000  20.532960   3.207143
  0.550000  20.532960   3.172021
  0.570000  20.532960   3.138120
  0.590000  20.532960   3.105338
  0.610000  20.532960   3.073639
  0.630000  20.532960   3.042938
  0.650000  20.532960   3.013206
  0.670000  20.532960   2.984356
  0.690000  20.532960   2.956357
  0.710000  20.532960   2.929089
  0.730000  20.532960   2.902599
